X coordinate	Y Coordinate
420	278
421	40
29	178
350	47
298	201
417	186
378	134
447	239
42	114
45	199
362	195
381	243
429	1
338	209
176	9
364	26
326	182
500	129
190	51
489	103
368	142
132	260
305	200
446	137
375	154
440	190
9	118
437	32
383	266
282	51
366	19
465	173
93	210
257	185
316	242
315	141
236	14
352	155
311	106
300	261
66	154
172	245
376	16
152	283
41	259
278	158
299	102
81	178
178	218
344	150
269	172
379	710
301	611
287	295
392	258
259	333
427	273
411	233
355	707
439	717
298	390
338	547
407	697
287	220
355	524
365	228
257	632
294	395
315	626
275	268
346	724
324	230
436	310
279	240
317	601
274	661
294	483
350	234
328	689
656	765
778	792
724	797
686	723
784	785
730	756
775	731
777	647
881	498
634	906
588	709
884	867
837	670
513	477
414	794
387	798
430	587
638	18
26	497
721	765
595	706
985	962
619	125
106	252
198	104
554	91
11	875
757	386
378	253
719	878
561	969
36	821
179	442
31	814
710	103
8	168
401	304
913	921
983	250
100	727
0	425
114	900
337	977
709	808
107	435
442	488
68	42
826	967
771	399
460	831
520	83
530	406
727	406
58	195
732	240
512	974
438	366
184	954
423	905
549	923
433	292
395	237
764	73
698	503
146	536
200	211
48	38
31	39
60	37
41	38
71	37
54	39
23	35
73	38
67	33
45	39
47	34
69	30
39	34
52	38
28	30
949	892
959	909
966	930
993	923
925	887
946	888
998	951
931	894
966	839
959	812
986	965
946	979
927	800
979	803
987	980
983	975
993	858
936	851
998	912
993	939
997	916
1000	832
975	898
919	882
916	883
980	974
975	902
996	808
999	864
991	829
995	985
982	926
13	690
23	525
10	864
15	283
2	149
3	580
8	299
16	361
